Tanggal,Beras Medium,Beras Premium,Beras Khusus,Kedelai Lokal,Kedelai Impor,Cabai Merah Keriting,Cabai Merah Besar,Cabai Rawit Merah,Cabai Rawit Hijau,Bawang Merah,Gula Pasir Curah,Gula Pasir Kemasan,Minyak Goreng Sawit Curah,Minyak Goreng Sawit Kemasan Premium,Minyakita,Tepung Terigu,Daging Ayam Ras,Telur Ayam Ras,Daging Sapi Paha Belakang,Daging Sapi Paha Depan,Daging Sapi Sandung Lamur,Daging Sapi Tetelan,Daging Kerbau Impor Beku,Daging Sapi Impor Beku,Ikan Bandeng,Ikan Kembung,Ikan Tongkol,Ikan Teri,Jagung Lokal Pipilan,Mie Instan,Bawang Putih Honan,Bawang Putih Kating,Bawang Bombai,Garam Halus,Susu Kental Manis,Susu Bubuk,Susu Bubuk Balita,Tempe Bungkus,Tahu Putih,Udang Basah,Pisang Lokal,Jeruk Lokal,Tomat,Kentang Sedang,Sawi Hijau,Kangkung,Ketimun Sedang,Kacang Panjang,Ketela Pohon,Daging Ayam Kampung,Telur Ayam Kampung,Kacang Tanah,Kacang Hijau
2025-01-02,13588.0,15196.0,17594.0,14079.0,14124.0,51857.0,50761.0,63021.0,46181.0,39619.0,17629.0,18808.0,17614.0,20254.0,17078.0,12260.0,37360.0,30275.0,132281.0,130463.0,100023.0,78177.0,104333.0,108856.0,35731.0,39818.0,34251.0,93789.0,9812.0,3185.0,40974.0,43609.0,36741.0,11163.0,13723.0,51015.0,44202.0,14819.0,11869.0,73010.0,14639.0,20584.0,14821.0,16351.0,12804.0,9618.0,9200.0,12404.0,9001.0,74361.0,56283.0,30215.0,24082.0
2025-01-03,13585.0,15194.0,17594.0,14067.0,14109.0,54314.0,52298.0,66767.0,48606.0,40152.0,17629.0,18791.0,17840.0,20312.0,17179.0,12260.0,37447.0,30402.0,132162.0,130346.0,100563.0,78267.0,104333.0,108579.0,35622.0,39799.0,34248.0,93383.0,9812.0,3186.0,41084.0,43865.0,36824.0,11177.0,13771.0,50972.0,44178.0,14863.0,11886.0,72977.0,14632.0,20570.0,14788.0,16395.0,12777.0,9596.0,9198.0,12274.0,9001.0,74313.0,56303.0,30184.0,24046.0
2025-01-06,13595.0,15200.0,17594.0,14067.0,14097.0,53726.0,51956.0,75581.0,52353.0,39812.0,17644.0,18819.0,17839.0,20361.0,17199.0,12251.0,37170.0,30222.0,132155.0,130187.0,99736.0,78136.0,104333.0,108471.0,35593.0,39893.0,34093.0,93626.0,9812.0,3188.0,41086.0,43680.0,36744.0,11130.0,13767.0,50990.0,44229.0,14856.0,11918.0,72901.0,14578.0,20471.0,14381.0,16413.0,12705.0,9590.0,9124.0,12184.0,9006.0,74331.0,56381.0,30270.0,24259.0
2025-01-07,13598.0,15207.0,17594.0,14067.0,14098.0,53281.0,51374.0,77888.0,53839.0,39756.0,17652.0,18823.0,17846.0,20375.0,17217.0,12253.0,36962.0,30163.0,132198.0,129841.0,99871.0,78237.0,104333.0,108132.0,35792.0,39892.0,34217.0,93733.0,9812.0,3188.0,41017.0,43660.0,36838.0,11178.0,13767.0,51018.0,44199.0,14852.0,11882.0,72954.0,14582.0,20491.0,14403.0,16456.0,12753.0,9601.0,9073.0,12122.0,9010.0,73982.0,56367.0,30314.0,24331.0
2025-01-08,13599.0,15205.0,17594.0,14039.0,14096.0,53026.0,51313.0,79275.0,53978.0,39603.0,17654.0,18828.0,17853.0,20387.0,17225.0,12250.0,36896.0,30062.0,132176.0,130101.0,100299.0,78121.0,104333.0,108392.0,35721.0,40042.0,34137.0,93600.0,9812.0,3188.0,40995.0,43580.0,36601.0,11176.0,13767.0,51047.0,44195.0,14859.0,11892.0,73031.0,14593.0,20503.0,14321.0,16456.0,12688.0,9615.0,9042.0,12095.0,9006.0,74076.0,56341.0,30261.0,24359.0
2025-01-09,13613.0,15210.0,17557.0,14062.0,14101.0,53045.0,51387.0,80138.0,54667.0,39441.0,17672.0,18835.0,17840.0,20397.0,17238.0,12268.0,36871.0,29947.0,132098.0,130309.0,100119.0,77837.0,104333.0,108394.0,35493.0,40286.0,33964.0,94348.0,9838.0,3190.0,41077.0,43538.0,36706.0,11191.0,13772.0,51108.0,44197.0,14866.0,13718.0,73036.0,14520.0,20496.0,14300.0,16490.0,12649.0,9616.0,9019.0,12098.0,8993.0,74123.0,56426.0,30231.0,24279.0
2025-01-10,13612.0,15208.0,17592.0,14024.0,14092.0,53354.0,51744.0,80269.0,54506.0,39162.0,17683.0,18835.0,17852.0,20400.0,17242.0,12247.0,36821.0,29853.0,132118.0,130222.0,100310.0,78043.0,104333.0,108469.0,35462.0,40097.0,34021.0,94081.0,9840.0,3188.0,41050.0,43382.0,36776.0,11181.0,13764.0,51047.0,44194.0,14864.0,11892.0,72946.0,14593.0,20498.0,14244.0,16484.0,12580.0,9597.0,8989.0,12026.0,8998.0,74016.0,56340.0,30190.0,24287.0
2025-01-13,13604.0,15206.0,17592.0,14041.0,14090.0,54509.0,52294.0,80917.0,55592.0,38185.0,17728.0,18900.0,17847.0,20415.0,17249.0,12256.0,36793.0,29489.0,132059.0,130182.0,99545.0,78171.0,104333.0,108488.0,35390.0,39569.0,34218.0,93988.0,9831.0,3187.0,41069.0,43637.0,36399.0,11206.0,13764.0,51047.0,44191.0,14864.0,11893.0,73405.0,14600.0,20314.0,13958.0,16669.0,12394.0,9584.0,8905.0,11935.0,8861.0,73987.0,56232.0,30081.0,24144.0
2025-01-14,13601.0,15202.0,17591.0,14041.0,14104.0,55161.0,52849.0,79407.0,55713.0,37903.0,17744.0,18907.0,17851.0,20412.0,17255.0,12251.0,36802.0,29366.0,132016.0,130134.0,99575.0,78168.0,104333.0,108495.0,35368.0,39610.0,34278.0,94176.0,9844.0,3187.0,41129.0,43737.0,36337.0,11207.0,13772.0,51104.0,44205.0,14859.0,11875.0,73618.0,14603.0,20310.0,13905.0,16792.0,12381.0,9553.0,8850.0,11906.0,8852.0,73801.0,56270.0,30042.0,24201.0
2025-01-15,13601.0,15201.0,17535.0,14044.0,14116.0,55593.0,52664.0,78912.0,55938.0,37707.0,17762.0,18977.0,17865.0,20455.0,17280.0,12251.0,36796.0,29271.0,131972.0,130080.0,99573.0,78161.0,104333.0,108404.0,35173.0,39569.0,34253.0,93913.0,9844.0,3187.0,41091.0,43668.0,36381.0,11206.0,13781.0,51178.0,44238.0,14871.0,11881.0,73563.0,14611.0,20320.0,13873.0,16872.0,12343.0,9532.0,8802.0,11884.0,8867.0,73718.0,56196.0,29908.0,24171.0
2025-01-16,13601.0,15203.0,17535.0,14038.0,14108.0,56472.0,53457.0,78376.0,56337.0,37505.0,17789.0,18988.0,17858.0,20460.0,17280.0,12247.0,36929.0,29146.0,131973.0,130080.0,99527.0,78596.0,104333.0,108407.0,35236.0,39582.0,34280.0,93844.0,9818.0,3187.0,41066.0,43691.0,36372.0,11208.0,13781.0,51178.0,44252.0,14867.0,11889.0,73566.0,14602.0,20330.0,13835.0,16974.0,12319.0,9538.0,8807.0,11834.0,8867.0,73803.0,56171.0,30016.0,24108.0
2025-01-17,13600.0,15204.0,17535.0,14042.0,14115.0,56827.0,53565.0,76973.0,56238.0,37261.0,17801.0,18991.0,17848.0,20474.0,17285.0,12246.0,36911.0,29069.0,131978.0,130080.0,99516.0,91853.0,104333.0,108394.0,35232.0,39594.0,34241.0,93919.0,9818.0,3187.0,41035.0,43666.0,36284.0,11196.0,13781.0,51135.0,44253.0,14861.0,11881.0,73640.0,14597.0,20316.0,13700.0,17024.0,12293.0,9546.0,8826.0,11819.0,8867.0,73789.0,56120.0,29913.0,24181.0
2025-01-20,13600.0,15201.0,17535.0,14068.0,14103.0,58359.0,54924.0,70544.0,55881.0,36764.0,17814.0,19007.0,17866.0,20497.0,17295.0,12250.0,36768.0,28753.0,131956.0,129611.0,99506.0,78187.0,104333.0,108302.0,35153.0,39745.0,34051.0,93612.0,9818.0,3187.0,41087.0,43480.0,36468.0,11196.0,13781.0,51131.0,44251.0,14841.0,11871.0,73537.0,14624.0,20537.0,13316.0,17102.0,12182.0,9520.0,8776.0,11704.0,8865.0,73741.0,56230.0,29883.0,24245.0
2025-01-21,13590.0,15203.0,17535.0,14077.0,14108.0,58698.0,55950.0,69399.0,55716.0,36561.0,17827.0,19003.0,17868.0,20503.0,17300.0,12234.0,36750.0,28599.0,131966.0,130027.0,99506.0,78187.0,104333.0,107561.0,35425.0,39829.0,34093.0,93876.0,9827.0,3186.0,41122.0,43520.0,36442.0,11193.0,13773.0,51159.0,44271.0,14838.0,11871.0,73518.0,14625.0,20542.0,13215.0,17117.0,12166.0,9513.0,8796.0,11656.0,8850.0,73687.0,56228.0,29829.0,24121.0
2025-01-22,13593.0,15205.0,17535.0,14082.0,14109.0,58543.0,56152.0,67564.0,55407.0,36140.0,17842.0,18952.0,17814.0,20462.0,17297.0,12258.0,36646.0,28393.0,131964.0,130115.0,99503.0,78184.0,104333.0,108336.0,35417.0,39885.0,34202.0,93894.0,9824.0,3187.0,40976.0,43393.0,36421.0,11196.0,13773.0,51181.0,44266.0,14839.0,11875.0,73476.0,14613.0,20487.0,13068.0,17142.0,12202.0,9520.0,8745.0,11594.0,8850.0,73659.0,56227.0,29810.0,24190.0
2025-01-23,13591.0,15192.0,17535.0,14095.0,14163.0,59379.0,57135.0,66790.0,55208.0,35995.0,17850.0,18949.0,17810.0,20472.0,17299.0,12258.0,36659.0,28300.0,131946.0,130065.0,99395.0,78157.0,104333.0,108336.0,35491.0,40149.0,34243.0,93946.0,9762.0,3187.0,40968.0,43418.0,36352.0,11197.0,13773.0,51181.0,44266.0,14840.0,11874.0,73506.0,14621.0,20450.0,13098.0,17199.0,12238.0,9525.0,8758.0,11569.0,8843.0,73662.0,56185.0,29763.0,24189.0
2025-01-24,13594.0,15203.0,17535.0,14109.0,14158.0,59564.0,56804.0,66575.0,55056.0,35782.0,17856.0,18953.0,17876.0,20473.0,17310.0,12257.0,36621.0,28213.0,131849.0,129579.0,99265.0,91341.0,104333.0,108343.0,35513.0,40165.0,34117.0,94046.0,9761.0,3187.0,40968.0,43325.0,36292.0,11195.0,13772.0,51175.0,44267.0,14846.0,11874.0,73543.0,14580.0,20413.0,13047.0,17230.0,12214.0,9541.0,8746.0,11540.0,8843.0,73673.0,56193.0,29729.0,24110.0
2025-01-30,13593.0,15201.0,17586.0,14150.0,14148.0,60873.0,58812.0,65358.0,55569.0,35239.0,17870.0,18950.0,17886.0,20497.0,17312.0,12231.0,36391.0,28154.0,131821.0,130058.0,99272.0,77971.0,104333.0,108343.0,35469.0,39301.0,34029.0,93912.0,9815.0,3187.0,40849.0,43300.0,36479.0,11196.0,13755.0,51187.0,44269.0,14884.0,11885.0,73560.0,14598.0,20389.0,13044.0,17202.0,12374.0,9613.0,8835.0,11519.0,8843.0,73566.0,56139.0,29731.0,24116.0
2025-01-31,13593.0,15200.0,17586.0,14148.0,14139.0,61221.0,58758.0,65160.0,55374.0,34904.0,17869.0,18943.0,17887.0,20481.0,17309.0,12233.0,36330.0,28118.0,131810.0,130038.0,99277.0,77972.0,104333.0,108342.0,35504.0,39279.0,34105.0,94094.0,9815.0,3187.0,40853.0,43381.0,36397.0,11207.0,13757.0,51211.0,44272.0,14878.0,11885.0,73605.0,14606.0,20380.0,13087.0,17190.0,12335.0,9587.0,8862.0,11515.0,8844.0,73966.0,56543.0,29873.0,24082.0
2025-02-03,13597.0,15198.0,17586.0,14147.0,14140.0,61748.0,60286.0,64608.0,55675.0,34392.0,17875.0,18896.0,17884.0,20504.0,17307.0,12240.0,36157.0,28156.0,131762.0,128543.0,99135.0,77996.0,104333.0,108187.0,35413.0,39357.0,34463.0,93735.0,9815.0,3187.0,40651.0,43360.0,36315.0,11211.0,13757.0,51330.0,44179.0,14700.0,11675.0,73636.0,14609.0,20358.0,13279.0,17246.0,12368.0,9663.0,8823.0,11583.0,8835.0,74237.0,56064.0,29714.0,24169.0
2025-02-04,13596.0,15193.0,17586.0,14147.0,14141.0,61579.0,60838.0,64619.0,56382.0,34248.0,17880.0,18903.0,17858.0,20516.0,17329.0,12235.0,36092.0,28159.0,131766.0,130032.0,98893.0,77793.0,104333.0,108336.0,35431.0,39288.0,34514.0,93677.0,9817.0,3188.0,40627.0,43287.0,36144.0,11208.0,13757.0,51330.0,44180.0,14704.0,11672.0,73615.0,14604.0,20373.0,13252.0,17317.0,12359.0,9708.0,8782.0,11610.0,8836.0,74089.0,55829.0,29723.0,24208.0
2025-02-05,13595.0,15193.0,17586.0,14147.0,14130.0,61309.0,60599.0,64592.0,56654.0,34132.0,17876.0,18902.0,17859.0,20516.0,17332.0,12238.0,36031.0,28177.0,131768.0,130044.0,99255.0,77805.0,103778.0,108329.0,35487.0,39188.0,34664.0,93568.0,9817.0,3187.0,40690.0,43335.0,36018.0,11208.0,13757.0,51336.0,44182.0,14698.0,11671.0,73616.0,14607.0,20358.0,13290.0,17362.0,12353.0,9714.0,8774.0,11656.0,8847.0,74084.0,55817.0,29723.0,24181.0
2025-02-06,13597.0,15200.0,17586.0,14145.0,14110.0,59906.0,59728.0,64268.0,56599.0,33975.0,17883.0,18914.0,17819.0,20523.0,17330.0,12238.0,35886.0,28219.0,131463.0,130044.0,99255.0,77970.0,103778.0,108329.0,35392.0,39126.0,34688.0,93568.0,9817.0,3187.0,40748.0,43469.0,36029.0,11208.0,13737.0,51333.0,44183.0,14679.0,11626.0,73573.0,14606.0,20401.0,13317.0,17402.0,12339.0,9690.0,8859.0,11669.0,8852.0,74479.0,55980.0,29772.0,24190.0
